number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_hidden_size,params_lr,params_n_epochs,params_num_layers,params_seq_len,state
66,0.7333333333333334,2025-11-24 22:46:20.991576,2025-11-24 22:48:25.733550,0 days 00:02:04.741974,16,True,0.29807828148942583,32,0.0005929673335207691,100,1.0,49,COMPLETE
67,0.4666666666666666,2025-11-24 22:47:49.358982,2025-11-24 22:49:32.731983,0 days 00:01:43.373001,16,False,0.29588711485501534,52,0.0006296512941373228,100,1.0,49,COMPLETE
68,0.6666666666666666,2025-11-24 22:48:25.765736,2025-11-24 22:50:07.500759,0 days 00:01:41.735023,16,False,0.29552158426107356,72,0.000428052442181178,100,1.0,49,COMPLETE
69,0.4,2025-11-24 22:48:32.916734,2025-11-24 22:49:05.789334,0 days 00:00:32.872600,64,False,0.4170521901185234,12,0.008647632673852934,100,2.0,49,PRUNED
70,0.0,2025-11-24 22:49:05.812549,2025-11-24 22:49:39.901604,0 days 00:00:34.089055,64,False,0.4428534906278517,56,0.0008225885165438258,100,1.0,56,COMPLETE
71,0.0,2025-11-24 22:49:32.766941,2025-11-24 22:49:52.348489,0 days 00:00:19.581548,64,False,0.4459112093363154,16,0.0004381629921566751,50,2.0,56,COMPLETE
72,0.0,2025-11-24 22:49:39.958396,2025-11-24 22:50:11.308293,0 days 00:00:31.349897,32,False,0.3558050380684098,28,0.0004226824310662431,50,2.0,63,COMPLETE
73,0.6,2025-11-24 22:49:52.382021,2025-11-24 22:50:51.725413,0 days 00:00:59.343392,16,True,0.301949743117134,28,0.0005973515850923873,50,1.0,49,COMPLETE
74,0.6,2025-11-24 22:50:07.526946,2025-11-24 22:51:08.189563,0 days 00:01:00.662617,16,True,0.3066532088129935,32,0.0006080961217597976,50,1.0,49,COMPLETE
75,0.6,2025-11-24 22:50:11.335774,2025-11-24 22:51:12.039693,0 days 00:01:00.703919,16,True,0.3099145636790286,28,0.0006047770422649022,50,1.0,49,COMPLETE
76,0.6,2025-11-24 22:50:51.750813,2025-11-24 22:51:53.488628,0 days 00:01:01.737815,16,True,0.25785613594697543,32,0.0003092526589593207,50,1.0,49,COMPLETE
77,0.4631283068783069,2025-11-24 22:51:08.229317,2025-11-24 22:53:48.180974,0 days 00:02:39.951657,16,True,0.3239808466466646,76,0.00031454688917728315,150,1.0,42,PRUNED
78,0.6561791383219955,2025-11-24 22:51:12.069445,2025-11-24 22:53:18.314776,0 days 00:02:06.245331,16,True,0.25804035050520324,48,0.00029235568075058004,100,1.0,42,COMPLETE
79,0.5667989417989419,2025-11-24 22:51:53.514625,2025-11-24 22:52:33.312137,0 days 00:00:39.797512,64,True,0.4253357461491088,48,0.00014926093774314783,100,2.0,42,PRUNED
80,0.3942340067340068,2025-11-24 22:52:33.343672,2025-11-24 22:53:54.341765,0 days 00:01:20.998093,32,False,0.47823810692219265,76,0.001796162390026983,150,2.0,35,PRUNED
81,0.5537037037037037,2025-11-24 22:53:18.349035,2025-11-24 22:54:36.155162,0 days 00:01:17.806127,32,False,0.28815335050359675,76,0.0007309239540431693,150,2.0,35,PRUNED
82,0.5528619528619528,2025-11-24 22:53:48.211747,2025-11-24 22:55:07.258000,0 days 00:01:19.046253,32,False,0.28767884213604655,64,0.0009399831168750431,150,2.0,35,PRUNED
83,0.7333333333333334,2025-11-24 22:53:54.363666,2025-11-24 22:55:32.401956,0 days 00:01:38.038290,16,False,0.2935731569777584,72,0.0003834071228759975,100,1.0,49,COMPLETE
84,0.6,2025-11-24 22:54:36.181909,2025-11-24 22:56:13.896531,0 days 00:01:37.714622,16,False,0.2924417497419352,72,0.00037384462268436324,100,1.0,49,COMPLETE
85,0.0,2025-11-24 22:55:07.285183,2025-11-24 22:56:43.029095,0 days 00:01:35.743912,16,False,0.4096240840627149,72,0.00024609134590043475,100,1.0,56,COMPLETE
86,0.0,2025-11-24 22:55:32.428164,2025-11-24 22:57:08.336522,0 days 00:01:35.908358,16,False,0.45515861649255723,84,0.0003707747664255876,100,1.0,56,COMPLETE
87,0.0,2025-11-24 22:56:13.923306,2025-11-24 22:57:51.705031,0 days 00:01:37.781725,16,False,0.41213654156498086,84,0.0002476529938357771,100,1.0,56,COMPLETE
88,0.6666666666666666,2025-11-24 22:56:43.057973,2025-11-24 22:56:59.920652,0 days 00:00:16.862679,64,False,0.45352115233942236,80,0.0003349684944748733,50,1.0,49,COMPLETE
89,0.0,2025-11-24 22:56:59.954490,2025-11-24 22:58:35.986816,0 days 00:01:36.032326,16,False,0.2421090514284602,84,0.00048298909967034497,100,1.0,56,COMPLETE
90,0.5333333333333334,2025-11-24 22:57:08.371063,2025-11-24 22:57:22.630294,0 days 00:00:14.259231,64,False,0.24458131711973108,64,0.00020918445160858796,50,1.0,49,PRUNED
91,0.6666666666666666,2025-11-24 22:57:22.661138,2025-11-24 22:58:02.360242,0 days 00:00:39.699104,48,False,0.26741296230848166,60,0.00047513584310425835,100,1.0,49,COMPLETE
92,0.4,2025-11-24 22:57:51.740116,2025-11-24 22:58:08.749077,0 days 00:00:17.008961,48,False,0.3876558605337582,56,0.003179490095639905,50,1.0,49,PRUNED
93,0.2666666666666667,2025-11-24 22:58:02.391667,2025-11-24 22:59:24.869577,0 days 00:01:22.477910,16,False,0.31948667650800106,68,0.0037992929624159387,100,1.0,49,PRUNED
94,0.6666666666666666,2025-11-24 22:58:08.778354,2025-11-24 22:59:46.293719,0 days 00:01:37.515365,16,False,0.2811362773102215,68,0.0004189678750257827,100,1.0,49,COMPLETE
95,0.5333333333333334,2025-11-24 22:58:36.018075,2025-11-24 23:00:00.182150,0 days 00:01:24.164075,16,False,0.3249291027641785,72,0.0004063623921310515,100,1.0,49,PRUNED
96,0.6,2025-11-24 22:59:24.897685,2025-11-24 23:01:04.787786,0 days 00:01:39.890101,16,False,0.2812159582097703,68,0.00011211311368692015,100,1.0,49,COMPLETE
97,0.6903344671201814,2025-11-24 22:59:46.328131,2025-11-24 23:02:21.541950,0 days 00:02:35.213819,16,False,0.40056735184864956,72,0.00027759734763147426,150,1.0,42,COMPLETE
98,0.5778688242973956,2025-11-24 23:00:00.208987,2025-11-24 23:02:36.734222,0 days 00:02:36.525235,16,False,0.401902416790701,72,0.0007307582392571914,150,1.0,28,COMPLETE
99,0.5337466010935399,2025-11-24 23:01:04.820154,2025-11-24 23:02:01.882517,0 days 00:00:57.062363,64,False,0.39911508641263027,72,0.00014225829323013275,150,2.0,28,COMPLETE
100,0.621031746031746,2025-11-24 23:02:01.914490,2025-11-24 23:05:05.052831,0 days 00:03:03.138341,16,True,0.30092417532203575,64,0.00027687884802090853,150,1.0,42,COMPLETE
101,0.5912698412698412,2025-11-24 23:02:21.575927,2025-11-24 23:03:20.677259,0 days 00:00:59.101332,64,True,0.4277142341422947,80,0.0013050262790120326,150,1.0,42,COMPLETE
102,0.5092592592592593,2025-11-24 23:02:36.765179,2025-11-24 23:03:36.808976,0 days 00:01:00.043797,64,True,0.43022154268783896,92,0.0001915667534304464,150,2.0,42,PRUNED
103,0.4583333333333333,2025-11-24 23:03:20.708073,2025-11-24 23:05:30.777086,0 days 00:02:10.069013,16,False,0.37499167728894495,64,0.00017603831165148419,150,1.0,42,PRUNED
104,0.5333333333333334,2025-11-24 23:03:36.870195,2025-11-24 23:05:43.148508,0 days 00:02:06.278313,16,False,0.37874677695305786,64,0.00026954732014005344,150,1.0,49,PRUNED
105,0.6666666666666666,2025-11-24 23:05:05.083474,2025-11-24 23:08:21.673792,0 days 00:03:16.590318,16,False,0.36793090639094655,36,0.000334607688884431,200,1.0,49,COMPLETE
106,0.6333333333333333,2025-11-24 23:05:30.807241,2025-11-24 23:08:46.907710,0 days 00:03:16.100469,16,False,0.2311173553029919,80,0.0008176859442326331,200,1.0,49,COMPLETE
107,0.5333333333333334,2025-11-24 23:05:43.181877,2025-11-24 23:08:31.919573,0 days 00:02:48.737696,16,False,0.12579633943888122,80,0.0003653650797447647,200,1.0,49,PRUNED
108,0.6,2025-11-24 23:08:21.707755,2025-11-24 23:09:10.173869,0 days 00:00:48.466114,16,False,0.227272848050743,80,0.00022089828658245958,50,1.0,49,COMPLETE
109,0.0,2025-11-24 23:08:31.943728,2025-11-24 23:09:19.575383,0 days 00:00:47.631655,16,False,0.26982382791122067,68,0.0005500056380131249,50,1.0,56,COMPLETE
110,0.0,2025-11-24 23:08:46.949690,2025-11-24 23:09:35.334914,0 days 00:00:48.385224,16,False,0.26680921072473035,68,0.00021861248389561257,50,1.0,56,COMPLETE
111,0.0,2025-11-24 23:09:10.206702,2025-11-24 23:10:06.525703,0 days 00:00:56.319001,16,False,0.3130676475573837,68,0.0005489303808345867,50,2.0,56,COMPLETE
112,0.0,2025-11-24 23:09:19.603211,2025-11-24 23:10:51.907112,0 days 00:01:32.303901,32,False,0.19600118845944015,76,0.00046143138576996696,150,2.0,56,COMPLETE
113,0.6666666666666666,2025-11-24 23:09:35.362047,2025-11-24 23:09:51.441548,0 days 00:00:16.079501,64,False,0.49104431699248363,76,0.0003293124856037699,50,1.0,49,COMPLETE
114,0.6666666666666666,2025-11-24 23:09:51.471379,2025-11-24 23:10:09.172632,0 days 00:00:17.701253,64,False,0.4498677117909746,72,0.0002965885203171371,50,1.0,49,COMPLETE
115,0.6666666666666666,2025-11-24 23:10:06.557929,2025-11-24 23:10:22.917829,0 days 00:00:16.359900,64,False,0.41599902352603396,88,0.00028383719719070864,50,1.0,49,COMPLETE
116,0.5666666666666667,2025-11-24 23:10:09.198202,2025-11-24 23:10:23.182331,0 days 00:00:13.984129,64,False,0.41585284599650435,40,0.0004732431146534214,50,1.0,49,PRUNED
117,0.4823082010582011,2025-11-24 23:10:22.950047,2025-11-24 23:10:37.309509,0 days 00:00:14.359462,64,False,0.3327333185861979,76,0.00039247179562060627,50,1.0,42,PRUNED
118,0.5269510582010583,2025-11-24 23:10:23.211558,2025-11-24 23:11:04.966777,0 days 00:00:41.755219,64,False,0.3339535959561442,60,0.000400832052075803,150,1.0,42,PRUNED
119,0.6666666666666666,2025-11-24 23:10:37.333824,2025-11-24 23:11:33.930650,0 days 00:00:56.596826,64,False,0.43858218019342654,44,0.00025050107728582475,150,2.0,49,COMPLETE
120,0.5333333333333333,2025-11-24 23:10:51.934256,2025-11-24 23:11:43.312355,0 days 00:00:51.378099,64,False,0.35625938719421296,60,0.00025078610812422346,150,1.0,49,COMPLETE
121,0.6,2025-11-24 23:11:04.994239,2025-11-24 23:11:45.155890,0 days 00:00:40.161651,64,True,0.43555136833836855,72,0.0002429002473977679,100,1.0,49,COMPLETE
