pLLA;pUP;USDT;MERVAL;actividad;prediccion
0.017728767;0;0.014032621;0.002394637;VERDADERO;FALSO
-0.055517328;0.023481096;0.001461096;-0.007680841;VERDADERO;
-0.009984221;0.002847843;0.004510962;;FALSO;
0;-0.002847843;-0.003845571;;FALSO;VERDADERO
-0.128318477;-0.002866641;-0.004359369;0.001613135;VERDADERO;VERDADERO
0.128318477;0.005714484;-0.003532174;0.011159888;VERDADERO;VERDADERO
-0.010219165;0.008433168;-0.002133177;0.012435939;VERDADERO;FALSO
-0.032184683;0.005532489;-0.001135496;-0.012037656;VERDADERO;FALSO
0.010995384;0;-0.000715263;-0.008984155;VERDADERO;
-0.033858267;0.008168789;0.002174642;;FALSO;
-0.011899223;-0.002705893;-0.001361934;;FALSO;VERDADERO
0.011899223;-0.002722858;-0.001170781;0.00044828;VERDADERO;VERDADERO
-0.02413368;0.00811789;-0.00130458;0.001606137;VERDADERO;FALSO
-0.146128036;0.01837169;-0.000686477;-0.004571049;VERDADERO;FALSO
0.120573931;-0.007778617;-0.003448755;-0.019231036;VERDADERO;
-0.056115942;0;0.003154218;;FALSO;
0;-0.002624144;0.001372799;;FALSO;
0.014723257;0;-0.000882015;;FALSO;VERDADERO
0.102662342;-0.024359346;-0.005330045;0.001948175;VERDADERO;FALSO
0.01128101;-0.031756596;-0.000596285;-0.02149882;VERDADERO;FALSO
0;0.040029122;0.001588279;-0.002133808;VERDADERO;VERDADERO
-0.01128101;-0.040029122;0.005350584;0.00440235;VERDADERO;VERDADERO
-0.011581873;0.031756596;0.001855614;0.000626727;VERDADERO;
-0.02413368;0;0.002849329;;FALSO;
0.068715812;0;-0.002200111;;FALSO;FALSO
-0.010723865;-0.0027929;0.009401445;-0.017750246;VERDADERO;VERDADERO
-0.010995384;-0.011354751;-0.000285772;0.002461764;VERDADERO;FALSO
0;0.002866641;-0.000858447;-0.012830839;VERDADERO;VERDADERO
-0.046996563;0.022276395;-0.003226358;0.005080138;VERDADERO;FALSO
0;0;0.00233432;-0.002733828;VERDADERO;
-0.081670046;0;0.00431569;;FALSO;
0.069080919;0.002705893;-0.002406421;;FALSO;FALSO
-0.069080919;0.005361728;0.005019342;-0.009982348;VERDADERO;VERDADERO
0;0;-0.004036165;0.007983235;VERDADERO;FALSO
0.014723257;0;0.000980956;-0.009274046;VERDADERO;VERDADERO
0.014240439;-0.00267259;0.003964463;0.012469414;VERDADERO;VERDADERO
0;0.00267259;0.000125265;0.001590977;VERDADERO;
0;0;0.002777846;;FALSO;
-0.537119184;0.043084901;0.013387531;;FALSO;FALSO
-0.102984161;0.011899223;-0.004396498;-0.061734376;VERDADERO;FALSO
-0.012409258;-0.002353905;0.001794294;-0.00112345;VERDADERO;VERDADERO
0.100670162;-0.002366733;-0.00024286;0.023660999;VERDADERO;FALSO
-0.140178703;-0.004772515;0.004591277;-0.004796009;VERDADERO;FALSO
-0.014010714;-0.00240607;0.007358827;-0.011039419;VERDADERO;
0.083901885;0.00240607;0.002562564;;FALSO;
0.005829544;0.004772515;-0.000528947;;FALSO;FALSO
0.064457989;0.004720639;0.005115424;-0.00276586;VERDADERO;VERDADERO
0.073317972;0;-0.003442632;0.009717072;VERDADERO;FALSO
-0.012837225;0;0.004545492;-0.001154864;VERDADERO;FALSO
0.045322979;-0.004720639;0.012598237;-0.021972445;VERDADERO;FALSO
-0.045322979;-0.004772515;0.007176738;-0.002973803;VERDADERO;
-0.065501549;0;2.77E-05;;FALSO;
-0.095649361;0;-0.003252325;;FALSO;VERDADERO
0.178184249;0;-0.032131029;0.031596067;VERDADERO;VERDADERO
-0.130542614;0;-0.009261656;0.001040222;VERDADERO;VERDADERO
-0.10116089;0;-0.004101367;0.006632417;VERDADERO;FALSO
0.040744968;-0.004825544;0.003610014;-0.018155367;VERDADERO;VERDADERO
0.142408146;0.002419474;0.014295942;0.005661604;VERDADERO;
0.084595495;0.00240607;0.002963063;;FALSO;
0.140046155;-0.00240607;-0.004780509;;FALSO;VERDADERO
-0.268845312;0;0.0056655;0.000518389;VERDADERO;FALSO
0.015239967;0.014240439;0.007971609;-0.004808599;VERDADERO;FALSO
-0.0257054;0.004644905;0.007059988;-0.002172625;VERDADERO;VERDADERO
-0.100900496;0.006875518;0.001449402;0.01071345;VERDADERO;FALSO
-0.159700843;0.002267861;-0.001022605;-0.000874193;VERDADERO;
0.028028724;0.002930625;0.000199029;;FALSO;
0.193820026;-0.005653484;-0.000882105;;FALSO;FALSO
-0.042552351;0.0011366;-0.001769604;-0.000590962;VERDADERO;FALSO
-0.00643411;0.000453808;0.004410563;-0.002081321;VERDADERO;VERDADERO
-0.182622126;0.004063076;0.000735469;0.006132649;VERDADERO;VERDADERO
0.0641175;0;-0.016710127;0.024471534;VERDADERO;
0.024823584;-0.000899626;0.012963249;;FALSO;
0.038458252;-0.000225198;-0.003980834;;FALSO;
-0.007424018;-0.000450747;-0.004104784;;FALSO;VERDADERO
0.145057025;-0.010036664;-0.022439989;0.007432069;VERDADERO;FALSO
0.020933907;-0.001850033;0.011975264;-0.016587756;VERDADERO;VERDADERO
0.318554341;-0.017255874;-0.000982938;0.006396375;VERDADERO;VERDADERO
0.070090069;-0.008031452;0.012607871;0.003790252;VERDADERO;VERDADERO
0.283996656;-0.057991947;0.008717726;0.013310151;VERDADERO;
-0.105130343;0.043759696;0.000907558;;FALSO;
-0.253891599;0.00353909;0.000453069;;FALSO;FALSO
-0.129094696;0.02613637;0.004840867;-0.002437758;VERDADERO;VERDADERO
0.309302522;-0.025130476;0.010589364;0.005329825;VERDADERO;VERDADERO
-0.170392843;0.021798886;0.002695714;0.003447509;VERDADERO;VERDADERO
-0.088500175;0.008984093;-0.01055085;0.007826151;VERDADERO;VERDADERO
-0.074447744;0.003727873;0.00475762;0.004485176;VERDADERO;
-0.150385859;0.008044849;0.000275009;;FALSO;
0.777318471;-0.110088978;-0.035771326;;FALSO;VERDADERO
-0.034692647;-0.039927947;0.006135921;0.085556319;VERDADERO;VERDADERO
-0.065144735;0.046336164;0.005062413;0.023611114;VERDADERO;VERDADERO
0.089717441;-0.038367235;-0.000174591;0.020875241;VERDADERO;FALSO
-0.082435687;0.048371169;0.001075527;-0.001297901;VERDADERO;VERDADERO
0.363830744;-0.208493351;0.000841122;0.031346822;VERDADERO;
-0.193624794;0.131735346;0.000405477;;FALSO;
-0.067760838;0.025852652;-0.002205724;;FALSO;VERDADERO
0.119609903;-0.032306892;0.004227448;0.014492471;VERDADERO;FALSO
0.001852005;-0.023557154;0.001868925;-0.003340181;VERDADERO;FALSO
-0.107826427;0.040010943;-0.005311478;-0.004607858;VERDADERO;FALSO
0.008600172;0.008483858;-0.000988619;-0.010768554;VERDADERO;FALSO
-0.127786579;0.061091045;-0.005271695;-0.016203331;VERDADERO;
-0.17401825;-0.01601267;0.000706601;;FALSO;
0.034284597;0.040836254;-8.83E-05;;FALSO;VERDADERO
0.071225588;-0.024823584;-0.002241982;0.013028947;VERDADERO;VERDADERO
0.279840697;-0.090846588;0.002536119;0.000935988;VERDADERO;VERDADERO
-0.177370478;0.050883288;-0.00079463;0.003851251;VERDADERO;FALSO
0.171584085;-0.046065392;0.003987878;-0.014992497;VERDADERO;VERDADERO
-0.021221662;0.006791295;0.000787373;0.016184164;VERDADERO;
-0.028074036;0.007680918;0.000262141;;FALSO;
-0.010270956;0.00657039;0.001395418;;FALSO;FALSO
-0.058734966;0.039253299;-0.003906811;-0.009675421;VERDADERO;VERDADERO
0.120882873;-0.074912961;-0.001760775;0.000858801;VERDADERO;FALSO
0.307416794;-0.339108247;0.001526417;-0.009422254;VERDADERO;FALSO
0.004729206;-0.025460446;0.002833096;-0.002914019;VERDADERO;FALSO
-0.188173437;0.088637487;0.003537233;-0.013762902;VERDADERO;
