pos_prob_mean;retorno_log_merval;retorno_log_dolar;prediccion
0.10782763709662467;0.05376815504034127;-0.0031039859375914247;0.0
0.1557941587442266;-0.0008591822007826266;-0.0020746895408603194;1.0
0.11515644905973632;0.0012530556359617862;0.0;1.0
0.12721039794170916;0.0022447404898535694;-0.002079002827833243;
0.06631425092928112;;;
0.1317858129639977;;;0.0
0.10162514418784883;-0.00023839557273497292;0.002079002827833243;1.0
0.058674369123764336;0.0005840991615428948;0.01033067038787916;0.0
0.00643194792792201;-0.008417188473082149;0.014285957247476944;1.0
0.044856864027678967;0.03409949262400325;-0.018405427542715458;1.0
0.11198108643293381;0.04390357216533225;0.01026703063974388;
0.08323776585582111;;;
0.07824332245132502;;;
0.07243573851883411;;;
0.2654561698436737;;;1.0
0.05439825338544324;0.04883936183747295;0.0;0.0
0.14281723987577216;-0.034846945790883765;0.0020408170348531485;1.0
0.17487427221411572;0.013281322792817463;0.004069181606725536;
0.11474878449729685;;;
0.09928373731672764;;;1.0
0.08716351771727204;0.027357026323265643;-0.004069181606725536;0.0
0.16951004466197142;-0.03777626351734931;0.00609757986811843;0.0
0.3032716901041567;-0.01635147369957224;0.0;1.0
0.029757289500493143;0.016570002282660923;-0.0040609192863154675;1.0
0.029757289500493143;0.02329152645072874;0.0;
0.029757289500493143;;;
0.029757289500493143;;;1.0
0.029757289500493143;0.02396220803737137;0.0020325210249225734;1.0
0.06360599978102578;0.011046841139950914;-0.004069181606725536;0.0
0.06360599978102578;-0.010785778016153102;-0.0020408170348531485;0.0
0.06360599978102578;-0.044920121713515115;-0.0020449904877271052;1.0
0.06360599978102578;0.014342856412184801;0.0020449904877271052;
0.06360599978102578;;;
0.06360599978102578;;;0.0
0.06360599978102578;-0.006651263218955705;0.0061099986415786844;1.0
0.05364209452219417;0.00472297324571791;0.006072893157899273;1.0
0.08902009669691324;0.020569226779022287;;1.0
0.03784607816487551;0.044389800117139444;;0.0
0.15285223869917294;-0.017519731063588395;0.04729945676923908;
0.0785269858315587;;;
0.0799972452223301;;;1.0
0.04691066247011934;0.030084022066255045;-0.003857285399758048;1.0
0.008261328563094139;8.317610136465703e-05;0.0;0.0
0.1858885164062182;-0.008073988358850315;0.009615458699442136;1.0
0.06589401537452691;0.012936501746976248;0.0;1.0
0.1033891173709115;0.02975494219272079;0.005725206478039979;
0.23678209251077958;;;
0.2127236371366855;;;0.0
0.41450927965343;-0.013433048932078862;0.04465858352666974;1.0
0.3195708387841781;0.010203561032215092;-0.029549703101867664;0.0
0.2580803260207176;-0.0007341770332924824;0.01857063581945617;0.0
0.2580803260207176;-0.04536039200122843;0.012797249601470106;1.0
0.06671774925052887;0.016689833095917095;-0.00363967644744978;
0.14946974890873485;;;
0.14946974890873485;;;0.0
0.14946974890873485;-0.0014208801790669412;-0.0018248180246285273;0.0
0.14946974890873485;-0.009040210463972187;0.018100041643617892;0.0
0.1233248656587393;-0.01736308579717516;0.0;0.0
0.10387474003417248;-0.008367758936953962;0.017778246021284083;1.0
0.04832518322823139;0.022518354615144176;0.0070237338793068815;
0.08481722123300035;;;
0.09816830419003963;;;1.0
0.1080360991114643;0.0018363405796648635;0.03777273081485788;1.0
0.1583788535351575;0.0300329018332004;0.003364174745631665;0.0
0.1646998155862093;-0.0105944547375465;0.003352895010311663;1.0
0.12410425629466772;0.019535602843788524;0.0033416906619025966;1.0
0.1179341663487767;0.020770043763430834;0.0008336807485775921;
0.05177411073236726;;;
0.18296362960598234;;;1.0
0.1203710367612075;0.0324947063138179;0.11778303565638382;1.0
0.07393839893621909;0.060853788146964405;0.07145896398214457;1.0
0.05704240101289802;0.06584008552617959;0.06669137449867257;1.0
0.16318976008484812;0.033523648240695536;-0.026145280104322488;1.0
0.13745183887316242;0.0033772927381452433;-0.054435206555017324;
0.15090188724999568;;;
0.06076567073288406;;;
0.091522538557183;;;1.0
0.08397117769887108;0.01638752045113634;0.009742596198818454;1.0
0.10929910641073459;0.03564323113523926;0.01101939524961093;0.0
0.04103116628773991;-0.003238386957804096;-0.01379332213233564;1.0
0.07399908381585892;0.02837396845811746;0.006920442844573493;
0.02007993496954441;;;
0.0974119132287194;;;1.0
0.029096884420141578;0.05300579786721826;0.010974047031976575;1.0
0.035466949759132185;0.026780696666790504;0.016238516492908417;0.0
0.11494582203862767;-0.011397555685297434;-0.01351371916672317;0.0
0.11494582203862767;-0.033457707778303813;-0.0068259650703996755;0.0
0.12260467522311956;-0.029202747320152156;-0.0034305350967889225;
0.10925406388317545;;;
0.15246299722440942;;;0.0
0.14310171787605383;-0.0024431514437637247;0.0;0.0
0.12476178082976151;-0.05704109748623587;-0.0068965790590604925;0.0
0.07998869149798499;-0.023941264432894016;-0.0069444723528109265;0.0
0.06138987633832065;-0.06356921397931892;0.0;0.0
0.0722312016878277;-0.028625868947001365;-0.0140353181163837;
0.11814145501703024;;;
0.07155879124708962;;;0.0
0.03630458465777338;-0.03530956592493695;0.009845367852529208;1.0
0.15833511017262936;0.0456493162830931;0.01803100167572591;1.0
0.05498430243908213;0.028082597054266856;0.006849341845574841;1.0
0.11681217840763138;0.032607942636063925;-0.01790681456380039;0.0
0.08053703633144156;-0.007443423355489642;0.011057472718225547;
0.14036594182252884;;;
0.06555308933439087;;;1.0
0.0744395721110278;0.03069855661478904;0.010936540995844624;0.0
0.05158354530835317;-0.01468162953312202;0.0027155481724827624;0.0
0.10054955165833235;-0.025720016632822862;-0.006802747322752545;0.0
0.1310029472629337;-0.014838216367062174;0.01355952978563213;0.0
0.08384301892385401;-0.0006557395052464443;0.0;
0.0866357651927198;;;
0.09565063365324236;;;0.0
0.06747782400074917;-0.008797292876133511;0.0;0.0
